UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF
2423,M02423,L,297.6,309.9,1645,33.3,55,0,0,0,0,0,0
2424,L02424,M,299.2,310.2,2130,30.4,123,0,0,0,0,0,0
2425,H02425,M,302.3,311.1,1893,49.5,213,0,0,0,0,0,0
2426,L02426,M,300.7,308.8,2772,49.3,152,0,0,0,0,0,0
2427,L02427,L,303.3,310.2,1849,49.1,231,0,0,0,0,0,0
2428,M02428,L,303.0,309.3,1194,45.7,67,0,0,0,0,0,0
2429,L02429,H,295.1,309.8,2504,28.1,124,0,0,0,0,0,0
2430,H02430,M,300.5,310.3,1985,39.8,46,0,0,0,0,0,0
2431,L02431,M,300.5,308.7,2113,53.5,27,0,0,0,0,0,0
2432,M02432,M,300.0,309.3,2060,27.9,245,0,0,0,0,0,0
2433,M02433,M,299.1,309.6,2009,30.1,36,0,0,0,0,1,0
2434,H02434,L,303.1,310.4,2245,42.7,73,0,0,0,0,0,0
2435,M02435,M,299.9,311.1,1877,47.6,72,0,0,0,0,0,0
2436,L02436,M,293.7,308.3,1247,46.8,126,0,0,0,0,0,0
2437,M02437,M,299.1,309.3,2444,43.2,35,0,0,0,0,0,0
2438,H02438,M,304.1,309.9,2580,30.0,128,0,0,0,0,0,0
2439,M02439,L,297.8,309.8,2617,44.9,221,0,0,0,0,0,0
2440,M02440,L,302.4,310.4,2264,33.8,74,0,0,0,0,0,0
2441,M02441,L,302.1,308.8,2827,43.4,152,0,0,0,0,0,0
2442,H02442,L,299.5,309.8,1266,38.8,74,0,0,0,0,0,0
2443,M02443,M,300.4,309.6,2687,36.9,40,0,0,0,0,0,0
2444,M02444,M,299.9,310.7,2144,63.3,182,0,0,0,0,0,0
2445,L02445,L,298.9,310.1,2216,28.2,68,0,0,0,0,0,0
2446,H02446,L,298.7,309.6,1220,32.6,218,0,0,0,0,0,0
2447,M02447,H,302.8,311.2,2317,50.7,214,0,0,0,0,0,0
2448,H02448,M,299.7,309.5,2515,57.4,56,0,0,0,0,0,0
2449,M02449,L,298.5,309.2,1907,46.7,210,0,0,0,0,0,0
2450,M02450,M,301.1,310.6,1945,37.7,244,0,0,0,0,0,0
2451,M02451,L,300.9,309.5,1988,32.1,2,0,0,0,0,0,0
2452,L02452,L,297.0,310.1,1875,48.6,135,0,0,0,0,0,0
2453,L02453,L,298.7,311.7,1256,39.9,47,0,0,0,0,0,0
2454,L02454,L,296.6,309.5,1535,34.8,58,0,0,0,0,0,0
2455,H02455,L,305.1,309.0,1605,50.7,112,0,0,0,0,0,0
2456,H02456,H,299.3,309.8,1924,38.5,35,0,0,0,0,0,0
2457,L02457,M,298.6,309.7,1443,26.9,182,0,0,0,0,0,0
2458,H02458,L,299.0,310.8,1325,41.2,78,0,0,0,0,0,0
2459,M02459,L,298.5,308.6,2280,36.5,76,0,0,0,0,0,0
2460,M02460,L,299.6,312.7,2259,30.0,221,0,0,0,0,0,0
2461,M02461,M,302.5,309.3,2683,43.1,168,0,0,0,0,0,0
2462,L02462,M,300.2,310.5,2400,44.5,73,0,0,0,0,0,0
2463,H02463,L,297.2,310.9,1743,14.8,58,0,0,0,0,0,0
2464,L02464,L,297.7,310.2,1478,50.9,161,0,0,0,0,0,0
2465,H02465,M,300.3,310.6,2414,50.0,29,0,0,0,0,0,0
2466,M02466,L,298.3,310.1,2175,38.8,88,0,0,0,0,0,0
2467,L02467,L,299.6,310.6,2424,32.1,61,0,0,0,0,0,0
2468,H02468,M,305.3,309.6,1191,45.4,69,0,0,0,0,0,0
2469,H02469,L,298.0,309.3,2599,40.0,54,0,0,0,0,0,0
2470,M02470,L,297.1,308.2,1230,34.7,243,0,0,0,0,0,0
2471,L02471,L,298.5,310.4,1637,34.9,100,0,0,0,0,0,0
2472,L02472,L,296.4,309.7,2065,41.8,208,0,0,0,0,0,0
2473,L02473,M,302.6,310.4,1411,53.3,99,0,0,0,0,0,0
2474,M02474,H,297.7,309.7,2568,26.8,231,0,0,0,0,0,0
2475,L02475,M,298.1,311.2,1858,43.1,95,0,0,0,0,0,0
2476,M02476,M,297.3,309.8,2421,31.1,21,0,0,0,0,0,0
2477,M02477,L,296.6,309.4,2503,43.2,118,0,0,0,0,0,0
2478,M02478,M,299.9,309.6,2142,45.8,96,0,0,0,0,0,0
2479,H02479,H,298.5,310.5,1957,27.7,246,0,0,0,0,0,0
2480,L02480,L,296.4,312.9,1697,45.7,21,0,0,0,0,0,0
2481,L02481,L,299.3,311.4,1764,42.6,99,0,0,0,0,0,0
2482,M02482,M,300.7,308.8,2096,53.0,81,0,0,0,0,0,0
2483,M02483,M,299.1,310.2,1964,40.2,219,0,0,0,0,0,0
2484,L02484,L,301.2,309.2,1247,42.9,140,0,0,0,0,0,0
2485,M02485,L,303.4,309.6,2318,44.3,209,0,0,0,0,0,0
2486,L02486,M,301.6,309.7,1943,54.2,22,0,0,0,0,0,0
2487,H02487,L,300.4,309.9,1276,21.8,226,0,0,0,0,0,0
2488,M02488,M,301.6,310.9,2477,24.4,145,0,0,0,0,0,0
2489,L02489,L,304.5,309.7,1944,39.0,73,0,0,1,0,0,0
2490,M02490,H,297.1,310.2,1728,43.6,242,0,0,0,0,0,0
2491,L02491,L,301.3,310.0,2552,23.4,249,0,0,0,0,0,0
2492,L02492,L,298.0,309.3,2320,39.4,65,0,0,0,0,0,0
2493,M02493,L,300.5,309.5,1989,32.5,13,0,0,0,0,0,0
2494,H02494,L,297.4,309.4,2254,27.1,159,0,0,0,0,0,0
2495,L02495,M,301.5,310.7,2415,38.3,157,0,0,0,0,0,0
2496,L02496,L,300.6,309.6,2750,47.1,146,0,0,0,0,0,0
2497,L02497,L,303.0,311.8,1732,58.5,68,0,0,0,0,0,0
2498,H02498,L,299.5,309.2,1697,61.1,249,0,0,0,0,0,0
2499,H02499,M,299.4,309.2,1216,52.4,175,0,0,0,0,0,0
2500,M02500,M,299.4,308.9,2768,43.2,95,0,0,0,0,0,0
2501,H02501,L,304.9,309.9,1831,38.9,121,0,0,0,0,0,0
2502,M02502,M,301.3,309.5,2648,41.5,73,0,0,0,0,0,0
2503,M02503,M,302.7,309.6,1728,41.5,132,0,0,0,0,0,0
2504,H02504,M,301.4,311.0,2783,51.2,205,0,0,0,0,0,0
2505,M02505,L,301.8,309.8,1986,56.0,166,0,0,0,0,0,0
2506,H02506,M,297.0,309.6,2606,28.4,233,0,0,0,0,0,0
2507,M02507,L,298.9,310.3,2475,37.0,170,0,0,0,0,0,0
2508,H02508,L,298.8,310.2,1973,49.6,146,0,0,0,0,0,0
2509,H02509,L,300.1,310.8,2548,38.7,74,0,0,0,0,0,0
2510,M02510,L,299.8,310.8,1724,35.9,226,0,0,0,0,0,0
2511,L02511,L,296.8,310.5,2251,51.6,166,0,0,0,0,0,0
2512,M02512,H,300.1,310.9,1179,34.9,237,0,0,0,0,0,0
2513,H02513,L,296.0,309.3,2525,46.6,101,0,0,0,0,0,0
2514,L02514,L,301.6,309.9,1912,36.8,213,0,0,0,0,0,0
2515,M02515,L,300.2,310.1,1980,62.2,243,0,0,0,0,0,0
2516,M02516,L,302.5,310.1,2288,52.5,58,1,0,0,0,0,0
2517,M02517,L,300.4,313.1,2505,36.7,236,0,0,0,0,0,0
2518,L02518,L,299.1,311.1,2678,42.8,237,0,0,0,0,0,0
2519,H02519,L,296.8,311.1,1880,45.9,93,0,0,0,0,0,0
2520,M02520,L,299.2,309.7,2327,35.8,179,1,0,0,0,0,0
2521,M02521,L,298.4,309.9,1684,36.8,93,1,0,0,0,0,0
2522,M02522,L,300.7,310.8,1518,48.4,238,0,0,0,0,0,0
2523,M02523,M,299.2,311.5,2833,39.9,177,0,0,0,0,0,0
2524,M02524,M,301.2,309.1,2531,25.9,202,0,0,0,0,0,0
2525,H02525,M,302.7,309.5,1451,45.6,213,0,0,0,0,0,0
2526,H02526,L,297.2,309.8,2844,49.6,9,0,0,0,0,0,0
2527,M02527,L,300.0,310.3,2624,36.7,106,0,0,0,0,0,0
2528,L02528,H,299.9,310.8,2066,32.3,82,0,0,0,0,0,0
2529,H02529,L,300.6,310.7,1456,53.3,117,0,0,0,0,0,0
2530,L02530,L,301.4,310.5,2852,41.5,14,0,0,0,0,0,0
2531,H02531,L,303.2,309.2,2236,39.2,59,0,0,0,0,0,0
2532,M02532,L,297.8,309.8,1986,39.2,34,0,0,0,0,0,0
2533,H02533,L,296.9,308.7,2449,54.6,34,0,0,0,0,0,0
2534,M02534,M,300.4,311.0,1660,42.6,0,0,0,0,0,0,0
2535,H02535,L,300.9,310.0,2167,44.4,46,0,0,0,1,0,0
2536,M02536,H,301.4,308.8,2036,38.4,190,0,0,0,0,0,0
2537,M02537,L,298.5,312.4,2708,40.2,108,0,0,0,0,0,0
2538,M02538,L,296.8,307.5,2087,36.8,110,0,0,0,0,0,0
2539,M02539,H,302.4,309.9,1536,44.9,244,0,0,0,0,0,0
2540,L02540,M,301.0,311.3,1944,28.9,17,0,0,0,0,0,0
2541,M02541,L,299.2,309.5,2008,42.3,25,0,0,0,0,0,0
2542,L02542,L,295.7,310.2,1607,36.3,59,0,0,0,0,0,0
2543,L02543,M,298.7,310.5,2581,34.9,145,0,0,0,0,0,0
2544,M02544,L,301.4,307.7,2559,44.5,62,0,0,0,0,0,0
2545,L02545,L,300.9,308.9,2563,40.0,40,0,0,0,0,0,0
2546,H02546,M,297.2,309.9,2402,30.1,209,0,0,0,0,0,0
2547,M02547,L,301.2,309.9,2400,31.2,42,0,0,0,0,0,0
2548,L02548,L,299.8,308.7,2500,42.0,209,0,0,0,0,0,0
2549,M02549,L,302.5,310.0,2508,32.2,223,0,0,0,0,0,0
2550,M02550,L,298.6,310.5,1426,23.4,37,0,0,0,0,0,0
2551,M02551,M,298.8,311.3,1379,48.2,249,0,0,0,0,0,0
2552,L02552,L,300.2,310.2,2330,27.6,154,0,0,0,0,0,0
2553,H02553,M,299.2,309.1,1162,36.4,176,0,0,0,0,0,0
2554,H02554,L,298.3,310.6,2676,30.8,55,0,0,0,0,0,0
2555,L02555,L,303.7,310.7,1346,30.6,220,0,0,0,0,0,0
2556,M02556,L,302.8,309.8,2796,43.4,176,0,0,0,0,0,0
2557,L02557,M,298.1,309.6,1764,33.4,168,0,0,0,0,0,0
2558,L02558,H,300.4,309.5,1252,37.8,211,0,0,0,0,0,0
2559,L02559,L,296.9,310.6,2343,21.9,187,0,0,0,0,0,0
2560,M02560,L,303.4,309.9,1258,57.5,126,0,0,0,0,0,0
2561,L02561,L,301.5,310.3,1525,43.6,98,0,0,0,0,0,0
2562,M02562,M,302.0,309.3,1275,54.0,86,0,0,0,0,0,0
2563,L02563,L,299.5,310.1,1896,52.8,55,0,0,0,0,0,0
2564,H02564,M,302.3,308.9,1534,51.9,203,0,0,0,0,0,0
2565,L02565,L,302.4,309.4,1297,37.5,189,0,0,0,0,0,0
2566,L02566,L,299.7,310.0,1832,40.5,116,0,0,0,0,0,0
2567,H02567,L,297.7,309.3,2174,30.0,226,0,0,0,0,0,0
2568,M02568,L,300.9,309.6,2144,40.9,61,0,0,0,0,0,0
2569,M02569,M,299.7,310.8,1701,27.6,99,0,0,0,0,0,0
2570,L02570,M,303.7,309.7,1898,54.1,169,0,0,0,0,0,0
2571,H02571,L,300.1,309.6,2180,49.0,117,0,0,0,0,0,0
2572,M02572,L,300.2,309.1,2336,46.2,155,0,0,0,0,0,0
2573,L02573,L,301.6,309.5,1585,34.4,36,0,0,0,0,0,0
2574,H02574,M,300.0,310.0,1951,51.7,19,0,0,0,0,0,0
2575,M02575,L,301.4,310.6,2607,24.2,34,0,0,0,0,0,0
2576,M02576,L,298.9,308.5,1474,38.9,181,0,0,0,0,0,0
2577,H02577,L,297.8,310.8,1306,41.5,70,0,0,0,0,0,0
2578,H02578,L,298.2,309.6,2287,56.3,97,0,0,0,0,0,0
2579,H02579,L,299.3,309.9,1261,27.0,5,0,0,0,0,0,0
2580,H02580,L,300.2,310.7,2136,53.6,18,1,0,0,0,0,0
2581,L02581,L,301.0,312.2,2628,51.6,105,0,0,0,0,0,0
2582,H02582,M,300.9,310.5,2246,52.1,7,0,0,0,0,0,0
2583,M02583,L,300.0,309.5,2103,34.3,175,0,0,0,0,0,0
2584,M02584,L,297.9,310.2,2366,44.5,221,0,0,0,0,0,0
2585,L02585,M,301.4,310.4,2648,49.0,193,0,0,0,0,0,0
2586,M02586,L,297.0,308.6,2446,42.9,15,0,0,0,0,0,0
2587,M02587,M,297.7,308.9,2107,43.6,116,0,0,0,0,0,0
2588,H02588,L,300.1,310.4,1885,44.9,109,0,0,0,0,0,0
2589,M02589,L,301.6,310.5,2022,33.6,23,0,0,0,0,0,0
2590,L02590,L,301.3,310.4,1243,33.5,152,0,0,0,0,0,0
2591,H02591,L,299.8,310.7,1868,47.8,140,0,0,0,0,0,0
2592,H02592,M,300.9,309.6,1831,34.0,118,0,0,0,0,0,0
2593,L02593,L,297.9,311.1,1817,43.3,200,0,0,0,0,0,0
2594,H02594,L,298.9,311.8,1664,27.2,157,0,0,0,0,0,0
2595,H02595,L,298.9,309.4,2393,37.9,8,0,0,0,0,0,0
2596,L02596,L,298.1,308.7,2178,55.1,190,0,0,0,0,0,0
2597,H02597,L,299.3,309.9,1343,42.2,167,0,0,0,0,0,0
2598,L02598,L,299.6,310.9,1203,51.9,6,0,0,0,0,0,0
2599,L02599,L,299.1,310.7,2083,56.8,207,0,0,0,0,0,0
2600,M02600,M,299.5,310.1,2125,49.1,229,0,0,0,0,0,0
2601,M02601,L,294.3,307.7,1961,44.4,31,0,0,0,0,0,0
2602,H02602,M,300.8,309.3,2382,39.0,188,0,0,0,0,0,0
2603,H02603,M,299.2,311.1,2761,37.9,59,0,0,0,0,0,0
2604,L02604,L,299.2,308.3,2670,36.8,92,0,0,0,0,0,0
2605,H02605,M,297.2,310.0,2803,51.0,106,0,0,0,0,0,0
2606,L02606,M,303.1,309.4,2628,42.2,50,0,0,0,0,0,0
2607,L02607,L,303.2,310.7,2253,48.6,39,0,0,0,0,0,0
2608,H02608,H,296.7,308.3,2181,56.5,114,0,0,0,0,0,0
2609,L02609,L,299.5,309.7,1240,59.3,78,0,0,0,0,0,0
2610,M02610,L,301.9,310.2,1495,47.0,10,0,0,0,0,0,0
2611,H02611,M,299.3,309.6,2171,47.0,72,0,0,0,0,0,0
2612,M02612,L,298.8,310.6,1500,38.0,15,0,0,0,0,0,0
2613,H02613,L,298.7,308.5,1359,49.4,24,0,0,0,0,0,0
2614,L02614,L,300.6,308.9,1407,31.5,159,0,0,0,0,0,0
2615,H02615,M,305.2,309.7,2214,41.0,236,0,0,0,0,0,0
2616,M02616,M,301.7,310.3,1876,29.8,201,0,0,0,0,0,0
2617,L02617,L,297.8,310.5,1845,27.1,137,0,0,0,0,0,0
2618,H02618,H,298.7,310.2,1453,43.2,221,0,0,0,0,0,0
2619,H02619,L,299.5,309.1,2414,30.2,184,0,0,0,0,0,0
2620,H02620,L,298.3,309.4,2791,34.6,83,0,0,0,0,0,0
2621,M02621,M,297.9,311.1,2707,44.4,40,0,0,0,0,0,0
2622,M02622,M,301.5,312.0,2014,49.6,123,0,0,0,1,0,0
2623,H02623,L,299.0,310.6,1394,59.7,225,0,0,0,0,0,0
2624,L02624,L,300.7,310.3,1935,21.1,64,0,0,0,0,0,0
2625,L02625,M,303.6,308.8,1740,31.4,159,0,0,0,0,0,0
2626,M02626,H,299.0,310.2,1453,21.2,103,0,0,0,0,0,0
2627,L02627,M,300.5,308.3,2708,27.3,94,0,0,0,0,0,0
2628,M02628,L,298.0,311.3,1260,45.2,175,0,0,0,0,0,0
2629,H02629,H,300.8,310.6,2303,39.7,53,0,0,0,0,0,0
2630,M02630,M,302.6,309.9,2535,24.0,124,0,0,0,0,0,0
2631,M02631,L,302.5,308.8,1409,43.3,74,0,0,0,0,0,0
2632,H02632,M,300.1,310.2,1815,55.5,121,1,0,0,0,0,0
2633,L02633,M,299.0,308.5,1680,29.5,40,0,0,0,0,0,0
2634,M02634,H,300.5,309.7,1710,44.2,248,0,0,1,0,0,0
2635,M02635,M,300.1,310.4,2759,56.0,82,0,0,0,0,0,0
2636,H02636,M,300.9,309.3,2387,31.2,113,0,0,0,0,0,0
2637,L02637,M,298.7,310.0,1202,39.2,60,0,0,0,0,0,0
2638,M02638,L,299.2,312.3,2051,25.3,134,0,0,0,0,0,0
2639,H02639,M,299.6,308.2,1339,53.5,180,0,0,0,0,0,0
2640,M02640,M,301.3,309.2,2814,44.2,220,0,0,0,0,0,0
2641,H02641,H,301.6,309.7,2664,33.9,233,0,0,0,0,0,0
2642,L02642,L,299.1,309.5,1293,38.1,101,0,0,0,0,0,0
2643,L02643,L,297.7,310.5,1909,49.4,52,0,0,0,0,0,0
2644,L02644,L,300.7,310.5,2353,24.0,227,0,0,0,0,0,0
2645,L02645,M,301.5,310.0,2692,31.8,96,0,0,0,0,0,0
2646,M02646,M,299.7,310.1,1952,42.2,99,0,0,0,0,0,0
2647,M02647,L,298.6,308.2,1867,48.9,153,0,0,0,0,0,0
2648,L02648,L,299.0,310.5,2241,44.6,220,0,0,0,0,0,0
2649,L02649,L,303.3,310.2,2022,25.5,60,0,0,0,0,0,0
2650,L02650,L,300.4,309.3,1804,50.0,92,0,0,0,0,0,0
2651,M02651,M,302.0,311.6,2281,51.8,34,0,0,0,0,0,0
2652,L02652,L,298.4,309.9,1334,50.1,2,0,0,0,0,0,0
2653,L02653,L,302.4,310.2,2324,40.2,109,0,0,0,0,0,0
2654,L02654,L,301.8,310.0,1739,34.3,196,0,0,0,0,0,0
2655,H02655,L,299.8,308.3,2648,54.4,224,0,0,0,0,0,0
2656,L02656,M,301.2,309.0,1908,35.3,63,0,0,0,0,0,0
2657,H02657,L,302.6,309.7,1251,41.4,138,0,0,0,0,0,0
2658,H02658,M,297.8,311.0,2312,49.3,133,0,0,0,0,0,0
2659,L02659,L,298.9,309.5,2561,52.7,129,0,0,0,0,0,0
2660,H02660,L,301.0,310.2,1829,32.8,204,0,0,0,0,0,0
2661,L02661,L,300.0,310.5,1638,53.0,192,0,0,1,0,0,0
2662,M02662,M,300.8,309.2,2231,34.6,218,0,0,0,0,0,0
2663,M02663,L,301.4,309.1,1780,48.0,39,0,0,0,0,0,0
2664,M02664,H,301.0,309.3,1237,46.6,126,0,0,0,0,0,0
2665,M02665,M,299.5,309.3,2295,40.7,105,0,0,0,0,0,0
2666,H02666,L,299.6,308.9,2143,26.3,142,0,0,0,0,0,0
2667,L02667,M,303.1,310.9,2417,29.9,98,0,0,0,0,0,0
2668,L02668,H,300.2,310.6,2240,49.9,157,0,0,0,0,0,0
2669,L02669,L,302.7,308.9,1443,44.6,5,0,0,0,0,0,0
2670,M02670,L,302.8,310.2,2303,45.6,97,0,0,0,0,0,0
2671,M02671,M,298.4,309.7,2004,37.2,20,0,0,0,0,0,0
2672,L02672,L,301.5,309.9,1189,36.2,223,0,0,0,0,0,0
2673,M02673,H,297.8,310.0,2385,44.7,184,0,0,0,0,0,0
2674,L02674,L,303.2,308.5,2229,36.7,182,0,0,0,0,0,0
2675,L02675,L,300.4,308.0,1861,44.6,83,0,0,0,0,0,0
2676,L02676,H,300.3,310.0,1440,28.3,98,0,0,0,0,0,0
2677,L02677,M,298.3,309.6,1966,40.9,190,0,0,0,0,0,0
2678,L02678,L,298.8,309.8,2792,32.8,136,0,0,0,0,0,0
2679,L02679,H,300.5,309.4,1856,42.3,51,0,0,0,0,0,0
2680,L02680,L,300.2,310.0,2525,29.1,36,0,0,0,0,0,0
2681,M02681,L,299.2,308.3,2295,53.0,197,0,0,0,0,0,0
2682,L02682,H,301.8,310.0,2268,23.7,201,0,0,0,0,0,0
2683,L02683,L,300.0,307.4,2601,50.5,244,0,0,0,0,0,0
2684,M02684,L,298.0,309.3,1948,36.9,8,0,0,0,0,0,0
2685,M02685,L,301.4,309.5,2810,46.2,224,0,0,0,0,0,0
2686,M02686,M,297.7,308.2,2622,44.6,122,0,0,0,0,0,0
2687,L02687,L,296.2,311.3,1993,34.8,143,0,0,0,0,0,0
2688,H02688,L,300.2,309.9,1787,35.9,31,0,0,0,0,0,0
2689,H02689,M,297.9,309.2,2063,50.5,101,0,0,0,0,0,0
2690,M02690,L,300.4,311.9,1493,41.6,111,0,0,0,0,0,0
2691,H02691,M,301.6,310.2,2721,37.3,211,0,0,0,0,0,0
2692,M02692,M,302.0,310.3,2176,36.0,211,0,0,0,0,0,0
2693,L02693,L,301.0,309.8,2203,37.7,2,0,0,0,0,0,0
2694,H02694,L,297.3,309.4,2126,56.6,141,0,0,0,0,0,0
2695,L02695,L,298.6,310.2,2428,55.0,20,1,0,0,0,0,0
2696,H02696,M,300.0,307.1,1194,57.0,71,0,0,0,0,0,0
2697,L02697,M,300.0,308.1,2350,56.5,115,0,0,0,0,0,0
2698,H02698,L,298.1,308.5,2395,33.0,246,0,0,0,0,0,0
2699,L02699,L,299.1,307.6,2798,40.7,237,0,0,0,0,0,0
2700,L02700,L,301.6,310.4,1271,34.0,215,0,0,0,0,0,0
2701,H02701,L,301.0,309.2,1424,48.9,174,0,0,0,0,0,0
2702,L02702,L,299.4,311.1,2109,38.4,20,0,0,0,0,0,0
2703,L02703,M,302.1,309.7,2050,35.8,41,0,0,0,0,0,0
2704,L02704,L,297.3,309.0,1461,36.1,95,0,0,0,0,0,0
2705,H02705,M,301.6,309.8,1567,32.6,144,0,0,0,0,0,0
2706,H02706,L,301.4,310.9,1910,47.1,39,0,0,0,0,0,0
2707,L02707,L,301.5,309.6,2502,45.3,57,0,0,0,0,0,0
2708,L02708,L,300.6,311.1,2276,32.9,114,0,0,0,0,0,0
2709,H02709,M,298.7,310.9,1837,49.1,131,0,0,0,0,0,0
2710,H02710,L,301.2,309.3,1431,43.3,41,0,0,0,0,0,0
2711,L02711,L,299.2,309.3,2418,30.4,86,0,0,0,0,0,0
2712,L02712,L,300.4,309.3,2306,29.6,56,0,0,0,0,0,0
2713,L02713,M,298.5,308.6,2005,30.8,35,0,0,0,0,0,0
2714,M02714,L,299.3,308.3,1820,49.2,51,0,0,0,0,0,0
2715,H02715,L,299.7,309.3,1490,54.8,149,0,0,0,0,0,0
2716,M02716,M,300.8,307.4,1171,12.3,88,0,0,0,0,0,0
2717,H02717,M,301.1,308.7,2787,28.1,195,0,0,0,0,0,0
2718,H02718,L,303.4,310.3,2323,53.0,9,0,0,0,0,0,0
2719,H02719,M,300.3,308.4,1718,37.1,151,0,0,0,0,0,0
2720,H02720,L,298.1,311.1,1819,50.5,162,0,0,0,0,0,0
2721,H02721,M,301.6,310.4,2119,40.8,113,0,0,0,0,0,0
2722,H02722,M,300.7,311.7,2340,43.1,77,0,0,0,0,0,0
2723,H02723,L,299.6,311.9,1494,51.0,147,0,0,0,1,0,0
2724,M02724,M,299.2,310.5,2634,39.7,109,0,0,0,0,0,0
2725,L02725,L,298.8,309.2,2433,31.6,51,0,0,0,0,0,0
2726,L02726,L,298.7,308.1,1349,45.7,246,0,0,0,0,0,0
2727,M02727,M,297.6,308.3,1154,36.0,13,0,0,0,0,0,0
2728,M02728,H,301.9,311.8,1449,62.8,166,0,0,0,0,0,0
2729,M02729,L,300.9,308.3,2776,38.4,72,0,0,0,0,0,0
2730,M02730,L,300.2,309.6,2709,45.3,249,0,0,0,0,0,0
2731,H02731,L,298.8,311.0,2409,49.2,161,0,0,0,0,0,0
2732,L02732,H,302.2,308.9,1887,52.1,83,0,0,0,0,0,0
2733,H02733,M,297.2,311.1,1689,51.8,66,0,0,0,0,0,0
2734,L02734,M,299.7,309.7,2325,51.8,203,0,0,0,0,0,0
2735,L02735,L,302.0,310.0,2045,39.0,242,0,0,0,0,0,0
2736,M02736,M,296.0,309.5,1395,47.9,111,0,0,0,0,0,0
2737,H02737,M,300.4,308.9,2178,21.2,102,0,0,0,0,0,0
2738,M02738,M,298.7,310.5,1162,46.5,11,0,0,0,0,0,0
2739,H02739,L,300.2,310.4,2127,47.0,41,0,0,0,0,0,0
2740,L02740,L,299.3,310.5,2740,48.4,213,0,0,0,0,0,0
2741,M02741,L,301.2,310.8,2638,48.9,226,0,0,0,0,0,0
2742,M02742,M,302.5,309.4,1435,49.0,231,0,0,0,0,0,0
2743,L02743,L,305.0,310.4,2787,36.6,158,0,0,0,0,0,0
2744,L02744,M,299.8,310.7,1488,37.6,247,0,0,0,0,0,0
2745,L02745,L,301.5,310.2,2387,47.0,198,0,0,0,0,0,0
2746,M02746,M,300.7,309.4,2094,22.4,136,0,0,0,0,0,0
2747,H02747,L,300.8,310.2,1262,25.4,125,0,0,0,0,0,0
2748,M02748,L,303.0,307.8,1487,34.2,50,0,0,0,0,0,0
2749,H02749,L,298.6,310.2,1239,35.9,36,0,0,0,0,0,0
2750,M02750,L,299.3,308.7,1932,43.0,149,0,0,0,0,0,0
2751,M02751,L,299.6,309.8,1908,61.0,136,0,0,0,0,0,0
2752,L02752,M,298.0,309.4,2649,35.5,207,0,0,0,0,0,0
2753,H02753,L,300.0,309.9,2203,44.7,115,0,0,0,0,0,0
2754,M02754,L,301.3,308.3,2713,23.8,191,0,0,0,0,0,0
2755,M02755,L,301.7,310.5,2641,35.6,62,0,0,0,0,0,0
2756,L02756,L,299.6,310.7,2561,47.1,84,0,0,0,0,0,0
2757,L02757,L,302.3,308.8,2753,36.3,72,0,0,0,0,0,0
2758,H02758,L,295.9,308.4,1506,34.0,139,0,0,0,0,0,0
2759,M02759,L,304.7,308.9,2828,19.3,26,0,0,0,0,0,0
2760,H02760,L,301.1,310.6,1695,32.5,115,0,0,0,0,0,0
2761,M02761,M,299.1,309.7,1608,51.4,46,0,0,0,0,0,0
2762,H02762,L,300.9,309.6,1620,35.7,241,0,0,0,0,0,0
2763,L02763,L,299.7,309.7,2016,40.9,72,0,0,0,0,0,0
2764,M02764,L,295.8,309.1,2088,32.6,218,0,0,0,0,0,0
2765,H02765,M,300.1,310.1,2400,37.1,27,0,0,0,0,0,0
2766,L02766,M,301.8,311.3,1722,52.0,34,0,0,0,0,0,0
2767,L02767,M,301.9,308.9,2364,35.6,106,0,0,0,0,0,0
2768,H02768,L,300.5,310.4,2175,32.7,165,0,0,0,0,0,0
2769,M02769,M,301.9,309.8,2291,52.2,95,0,0,0,0,0,0
2770,M02770,L,300.9,309.7,1457,39.7,168,0,0,0,0,0,0
2771,L02771,L,300.4,311.2,1713,37.0,66,0,0,0,0,0,0
2772,M02772,M,298.6,310.8,2188,41.8,183,0,0,0,0,0,0
2773,M02773,L,299.3,309.8,1573,50.6,136,0,0,0,0,0,0
2774,M02774,H,299.5,310.7,2652,41.3,130,0,0,0,0,0,0
2775,L02775,L,300.6,308.1,2269,33.1,50,0,1,0,0,0,0
2776,H02776,H,301.6,307.6,1759,41.2,227,0,0,0,0,0,0
2777,M02777,M,298.8,309.1,1204,24.3,76,0,0,0,0,0,0
2778,L02778,L,297.2,308.8,2451,30.9,176,0,0,0,0,0,0
2779,L02779,L,302.9,309.6,1562,43.4,225,0,0,0,0,0,0
2780,H02780,L,298.1,311.0,2418,40.3,221,0,0,0,0,0,0
2781,M02781,H,301.0,309.6,2131,44.0,207,0,0,0,0,0,0
2782,M02782,L,300.5,310.8,2569,44.3,224,0,0,0,0,0,0
2783,H02783,M,299.3,310.7,2644,48.2,162,0,0,0,0,0,0
2784,H02784,H,301.2,308.1,1187,41.1,15,0,0,0,0,0,0
2785,L02785,L,297.6,310.5,2805,50.1,229,0,0,0,0,0,0
2786,L02786,L,303.3,311.0,1919,44.6,167,1,0,0,0,0,0
2787,H02787,M,305.3,311.1,2313,45.2,68,0,0,0,0,0,0
2788,M02788,L,302.5,309.7,1332,31.7,7,1,0,0,0,0,0
